ID,Day,Month,Notes,Secret
0,24,1,,
1,1,2,,
2,23,3,,
3,27,3,,
4,31,3,,
5,8,4,,
6,16,4,,
7,22,4,,
8,24,5,,
9,24,5,,
10,25,5,,
11,10,6,,
12,17,6,,
13,27,6,,
14,28,6,,
15,14,7,,
16,12,8,,
17,28,9,,
18,5,10,,
19,6,10,,
20,23,11,,
21,1,12,,
22,24,12,,
23,25,12,Based? Based on what?,My index number
24,3,1,,
25,20,1,,
26,26,1,,
27,21,3,,
28,21,3,,
29,24,3,,
30,16,4,,
31,25,5,,
32,2,6,,
33,13,6,,
34,28,6,,
35,25,7,,
36,1,8,,
37,2,8,,
38,17,8,,
39,29,8,,
40,14,9,,
41,24,9,,
42,2,10,,
43,3,10,,
44,20,10,,
45,4,11,,
46,6,11,,
47,11,11,,
48,15,4,,
49,29,2,,Sussy_baka
